num,norm_time,div_time,dup_time,opt_time,data_size,norm_attacker_time,norm_h3_time,norm_h4_time,norm_h5_time,norm_h6_time,norm_h7_time,norm_h8_time,norm_h9_time,norm_h10_time,div_attacker_time,div_h3_time,div_h4_time,div_h5_time,div_h6_time,div_h7_time,div_h8_time,div_h9_time,div_h10_time,dup_attacker_time,dup_h3_time,dup_h4_time,dup_h5_time,dup_h6_time,dup_h7_time,dup_h8_time,dup_h9_time,dup_h10_time,opt_attacker_time,opt_h3_time,opt_h4_time,opt_h5_time,opt_h6_time,opt_h7_time,opt_h8_time,opt_h9_time,opt_h10_time
1,47.6483538151,44.0815529823,47.1471250057,42.8855950832,60000,42.319,45.824,37.833,46.506,44.912,47.185,42.116,45.539,46.369,37.728,37.400,35.912,43.217,43.528,37.947,41.845,43.388,41.808,38.101,45.651,38.807,30.475,43.648,42.376,46.656,40.022,44.233,39.112,32.775,41.749,40.365,29.677,42.338,41.980,42.448,36.038
2,48.9784328938,49.8595840931,46.894466877,43.4304630756,60000,45.986,47.304,42.347,41.040,47.541,44.615,34.475,46.188,48.297,38.905,46.740,45.882,49.088,49.230,41.708,49.114,45.874,44.133,34.135,43.984,46.375,44.098,44.335,36.511,40.288,44.138,43.656,37.303,37.616,42.188,40.255,42.950,39.093,41.704,34.328,39.203
3,49.1457810402,49.5329518318,48.1494920254,54.0981988907,60000,36.594,44.940,38.932,48.278,44.633,43.992,47.918,48.492,48.254,41.068,48.956,42.765,45.831,47.785,44.153,48.317,43.621,45.531,36.021,39.882,43.792,42.655,47.389,36.742,47.713,47.083,45.596,43.735,49.699,51.979,46.673,51.476,52.987,47.345,53.544,48.978
4,47.9700610638,51.8830640316,46.9648849964,50.4015660286,60000,46.078,41.316,42.181,44.029,44.879,47.350,44.905,34.770,44.268,39.627,50.315,49.603,49.351,50.171,36.426,49.503,43.364,51.095,46.287,42.122,32.322,39.613,44.142,41.362,38.929,45.719,44.342,49.892,46.314,44.092,43.820,45.738,48.869,40.928,48.736,45.072
5,56.1766588688,49.5562961102,47.971146822,47.5858080387,60000,52.451,54.475,54.127,55.377,53.952,40.910,48.608,47.736,46.991,29.583,48.825,46.361,40.648,48.740,41.440,47.143,41.860,46.767,47.408,45.791,43.655,45.834,46.155,42.857,39.763,35.877,37.001,46.974,45.774,35.569,42.710,46.135,41.144,41.839,44.596,44.578
6,49.2307629585,46.6154589653,51.0575108528,45.9548718929,60000,44.019,48.165,47.822,39.250,47.580,48.305,44.577,39.531,48.558,25.441,41.626,42.319,45.991,45.748,45.980,38.218,45.891,42.610,50.515,47.194,43.803,49.840,47.872,43.731,48.855,46.677,47.249,44.891,34.625,45.387,37.858,45.128,40.978,45.171,39.613,44.807
7,50.3770430088,49.5469930172,53.2080030441,47.3699841499,60000,44.344,42.899,49.871,48.185,49.619,49.336,39.139,49.755,41.475,27.528,38.321,47.715,46.942,46.653,42.428,39.907,47.264,48.785,51.121,30.815,47.858,47.416,50.001,49.685,52.654,50.338,48.934,45.342,44.643,46.347,33.417,41.959,41.492,45.150,37.400,46.674
8,49.6438930035,47.9135899544,48.8865330219,45.2776238918,60000,49.083,37.759,48.000,47.751,47.733,45.462,45.229,47.138,45.901,42.158,43.628,39.609,44.970,46.041,47.427,44.843,46.830,43.724,48.396,46.915,45.993,43.329,44.455,35.745,45.178,37.625,46.640,40.566,26.206,40.555,44.661,37.632,44.500,42.252,44.189,44.270
9,49.2082920074,48.263586998,47.9360609055,49.170691967,60000,48.819,47.481,32.388,46.240,47.645,44.975,39.595,43.283,48.035,28.900,39.943,45.862,46.050,45.960,40.924,38.885,46.285,47.517,45.101,44.223,40.717,42.614,39.846,47.611,45.908,47.187,39.379,48.385,43.972,47.650,48.078,43.968,48.433,43.096,48.608,40.307
10,49.4141249657,48.6706650257,53.037913084,48.6620988846,60000,47.172,40.328,48.594,38.423,45.486,48.965,47.863,44.752,43.182,30.537,39.492,41.768,44.872,47.505,48.081,45.465,39.435,45.772,52.292,38.215,52.264,44.864,52.514,42.155,50.077,48.672,50.725,44.792,47.379,48.219,45.538,46.477,36.669,47.386,46.183,36.747
