------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  4] local 10.0.0.10 port 5001 connected with 10.0.0.2 port 59730
[  5] local 10.0.0.10 port 5001 connected with 10.0.0.3 port 42938
[  6] local 10.0.0.10 port 5001 connected with 10.0.0.4 port 35547
[  7] local 10.0.0.10 port 5001 connected with 10.0.0.9 port 38331
[ 10] local 10.0.0.10 port 5001 connected with 10.0.0.7 port 50279
[  9] local 10.0.0.10 port 5001 connected with 10.0.0.6 port 36257
[  8] local 10.0.0.10 port 5001 connected with 10.0.0.1 port 59405
[ 11] local 10.0.0.10 port 5001 connected with 10.0.0.5 port 53388
[ 12] local 10.0.0.10 port 5001 connected with 10.0.0.8 port 42849
[ ID] Interval       Transfer     Bandwidth
[  4]  0.0- 1.0 sec  1.36 MBytes  11.4 Mbits/sec
[  5]  0.0- 1.0 sec  1.34 MBytes  11.2 Mbits/sec
[  6]  0.0- 1.0 sec  1.12 MBytes  9.39 Mbits/sec
[  7]  0.0- 1.0 sec  1.47 MBytes  12.3 Mbits/sec
[ 10]  0.0- 1.0 sec  2.13 MBytes  17.9 Mbits/sec
[  9]  0.0- 1.0 sec  2.12 MBytes  17.8 Mbits/sec
[  8]  0.0- 1.0 sec  2.26 MBytes  18.9 Mbits/sec
[ 11]  0.0- 1.0 sec  2.06 MBytes  17.3 Mbits/sec
[ 12]  0.0- 1.0 sec  2.11 MBytes  17.7 Mbits/sec
[  5]  1.0- 2.0 sec  1.22 MBytes  10.2 Mbits/sec
[  7]  1.0- 2.0 sec   880 KBytes  7.21 Mbits/sec
[ 10]  1.0- 2.0 sec  2.28 MBytes  19.1 Mbits/sec
[  9]  1.0- 2.0 sec  2.28 MBytes  19.2 Mbits/sec
[  4]  1.0- 2.0 sec  1.25 MBytes  10.5 Mbits/sec
[ 11]  1.0- 2.0 sec  2.12 MBytes  17.8 Mbits/sec
[ 12]  1.0- 2.0 sec  2.14 MBytes  18.0 Mbits/sec
[  8]  1.0- 2.0 sec  2.31 MBytes  19.4 Mbits/sec
[  6]  1.0- 2.0 sec  1.10 MBytes  9.20 Mbits/sec
[  5]  2.0- 3.0 sec  1.17 MBytes  9.78 Mbits/sec
[  4]  2.0- 3.0 sec  1.18 MBytes  9.94 Mbits/sec
[ 10]  2.0- 3.0 sec  2.26 MBytes  18.9 Mbits/sec
[  9]  2.0- 3.0 sec  2.26 MBytes  19.0 Mbits/sec
[ 11]  2.0- 3.0 sec  2.15 MBytes  18.0 Mbits/sec
[ 12]  2.0- 3.0 sec  2.17 MBytes  18.2 Mbits/sec
[  8]  2.0- 3.0 sec  2.31 MBytes  19.4 Mbits/sec
[  6]  2.0- 3.0 sec  1.04 MBytes  8.69 Mbits/sec
[  7]  2.0- 3.0 sec   636 KBytes  5.21 Mbits/sec
[  4]  3.0- 4.0 sec  1.06 MBytes  8.87 Mbits/sec
[  8]  3.0- 4.0 sec  2.06 MBytes  17.3 Mbits/sec
[ 12]  3.0- 4.0 sec  1.86 MBytes  15.6 Mbits/sec
[  5]  3.0- 4.0 sec  1.05 MBytes  8.78 Mbits/sec
[  6]  3.0- 4.0 sec   905 KBytes  7.41 Mbits/sec
[ 10]  3.0- 4.0 sec  2.05 MBytes  17.2 Mbits/sec
[  9]  3.0- 4.0 sec  1.79 MBytes  15.0 Mbits/sec
[ 11]  3.0- 4.0 sec  1.56 MBytes  13.1 Mbits/sec
[  7]  3.0- 4.0 sec   346 KBytes  2.84 Mbits/sec
[  4]  4.0- 5.0 sec  1.24 MBytes  10.4 Mbits/sec
