------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  4] local 10.0.0.10 port 5001 connected with 10.0.0.2 port 59991
[  7] local 10.0.0.10 port 5001 connected with 10.0.0.6 port 36519
[  6] local 10.0.0.10 port 5001 connected with 10.0.0.7 port 50540
[  5] local 10.0.0.10 port 5001 connected with 10.0.0.3 port 43199
[  8] local 10.0.0.10 port 5001 connected with 10.0.0.8 port 43110
[  9] local 10.0.0.10 port 5001 connected with 10.0.0.5 port 53648
[ 10] local 10.0.0.10 port 5001 connected with 10.0.0.4 port 35808
[ 11] local 10.0.0.10 port 5001 connected with 10.0.0.9 port 38591
[ 12] local 10.0.0.10 port 5001 connected with 10.0.0.1 port 59667
[ ID] Interval       Transfer     Bandwidth
[  7]  0.0- 1.0 sec  1.92 MBytes  16.1 Mbits/sec
[  5]  0.0- 1.0 sec  1.63 MBytes  13.6 Mbits/sec
[  8]  0.0- 1.0 sec  1.87 MBytes  15.7 Mbits/sec
[  9]  0.0- 1.0 sec  1.50 MBytes  12.5 Mbits/sec
[ 10]  0.0- 1.0 sec   437 KBytes  3.58 Mbits/sec
[ 11]  0.0- 1.0 sec   228 KBytes  1.87 Mbits/sec
[ 12]  0.0- 1.0 sec   218 KBytes  1.78 Mbits/sec
[  4]  0.0- 1.0 sec  2.77 MBytes  23.3 Mbits/sec
[  6]  0.0- 1.0 sec   799 KBytes  6.54 Mbits/sec
[  6]  1.0- 2.0 sec  4.24 KBytes  34.8 Kbits/sec
[  4]  1.0- 2.0 sec   151 KBytes  1.24 Mbits/sec
[  5]  1.0- 2.0 sec   940 KBytes  7.70 Mbits/sec
[  7]  1.0- 2.0 sec   868 KBytes  7.11 Mbits/sec
[  9]  1.0- 2.0 sec   115 KBytes   938 Kbits/sec
[ 10]  1.0- 2.0 sec   940 KBytes  7.70 Mbits/sec
[ 11]  1.0- 2.0 sec  1.41 KBytes  11.6 Kbits/sec
[  8]  1.0- 2.0 sec   658 KBytes  5.39 Mbits/sec
[ 12]  1.0- 2.0 sec  4.24 KBytes  34.8 Kbits/sec
[  4]  2.0- 3.0 sec  3.57 MBytes  30.0 Mbits/sec
[  8]  2.0- 3.0 sec  4.66 MBytes  39.1 Mbits/sec
[ 11]  2.0- 3.0 sec   734 KBytes  6.01 Mbits/sec
[  5]  2.0- 3.0 sec  5.55 MBytes  46.6 Mbits/sec
[ 10]  2.0- 3.0 sec   389 KBytes  3.19 Mbits/sec
[  9]  2.0- 3.0 sec  4.53 MBytes  38.0 Mbits/sec
[ 12]  2.0- 3.0 sec  1.41 KBytes  11.6 Kbits/sec
[  7]  2.0- 3.0 sec  5.56 MBytes  46.6 Mbits/sec
[  6]  2.0- 3.0 sec  36.8 KBytes   301 Kbits/sec
[  4]  3.0- 4.0 sec  10.2 MBytes  85.9 Mbits/sec
[  7]  3.0- 4.0 sec  4.15 MBytes  34.8 Mbits/sec
[  5]  3.0- 4.0 sec  3.54 MBytes  29.7 Mbits/sec
[  8]  3.0- 4.0 sec  6.71 MBytes  56.3 Mbits/sec
[  9]  3.0- 4.0 sec  5.20 MBytes  43.6 Mbits/sec
[  6]  3.0- 4.0 sec   266 KBytes  2.18 Mbits/sec
[ 10]  3.0- 4.0 sec   996 KBytes  8.16 Mbits/sec
[ 12]  3.0- 4.0 sec  1.06 MBytes  8.91 Mbits/sec
[ 11]  3.0- 4.0 sec   888 KBytes  7.27 Mbits/sec
[  4]  4.0- 5.0 sec  1.84 MBytes  15.4 Mbits/sec
[  5]  4.0- 5.0 sec  2.55 MBytes  21.4 Mbits/sec
[  7]  4.0- 5.0 sec  2.96 MBytes  24.9 Mbits/sec
