------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  4] local 10.0.0.10 port 5001 connected with 10.0.0.2 port 59084
[  6] local 10.0.0.10 port 5001 connected with 10.0.0.3 port 42292
[  5] local 10.0.0.10 port 5001 connected with 10.0.0.4 port 34901
[  7] local 10.0.0.10 port 5001 connected with 10.0.0.5 port 52741
[  9] local 10.0.0.10 port 5001 connected with 10.0.0.6 port 35612
[  8] local 10.0.0.10 port 5001 connected with 10.0.0.8 port 42203
[ 10] local 10.0.0.10 port 5001 connected with 10.0.0.9 port 37684
[ 11] local 10.0.0.10 port 5001 connected with 10.0.0.1 port 58760
[ 12] local 10.0.0.10 port 5001 connected with 10.0.0.7 port 49633
[ ID] Interval       Transfer     Bandwidth
[  4]  0.0- 1.0 sec  4.17 MBytes  35.0 Mbits/sec
[  6]  0.0- 1.0 sec  2.59 MBytes  21.8 Mbits/sec
[  5]  0.0- 1.0 sec  1.60 MBytes  13.4 Mbits/sec
[  7]  0.0- 1.0 sec  1.40 MBytes  11.8 Mbits/sec
[  9]  0.0- 1.0 sec  1.10 MBytes  9.26 Mbits/sec
[  8]  0.0- 1.0 sec  1.11 MBytes  9.30 Mbits/sec
[ 10]  0.0- 1.0 sec  4.65 MBytes  39.0 Mbits/sec
[ 12]  0.0- 1.0 sec  4.89 MBytes  41.0 Mbits/sec
[ 11]  0.0- 1.0 sec  4.14 MBytes  34.7 Mbits/sec
[  4]  1.0- 2.0 sec  4.70 MBytes  39.4 Mbits/sec
[  6]  1.0- 2.0 sec  3.04 MBytes  25.5 Mbits/sec
[  5]  1.0- 2.0 sec   761 KBytes  6.23 Mbits/sec
[  7]  1.0- 2.0 sec   738 KBytes  6.05 Mbits/sec
[ 10]  1.0- 2.0 sec  5.81 MBytes  48.8 Mbits/sec
[ 12]  1.0- 2.0 sec  6.15 MBytes  51.6 Mbits/sec
[  8]  1.0- 2.0 sec   656 KBytes  5.37 Mbits/sec
[  9]  1.0- 2.0 sec   667 KBytes  5.47 Mbits/sec
[ 11]  1.0- 2.0 sec  2.22 MBytes  18.7 Mbits/sec
[  8]  2.0- 3.0 sec   414 KBytes  3.39 Mbits/sec
[  9]  2.0- 3.0 sec   421 KBytes  3.45 Mbits/sec
[  6]  2.0- 3.0 sec  2.72 MBytes  22.8 Mbits/sec
[  4]  2.0- 3.0 sec  4.28 MBytes  35.9 Mbits/sec
[ 10]  2.0- 3.0 sec  5.32 MBytes  44.7 Mbits/sec
[ 12]  2.0- 3.0 sec  5.44 MBytes  45.6 Mbits/sec
[  5]  2.0- 3.0 sec   392 KBytes  3.21 Mbits/sec
[ 11]  2.0- 3.0 sec  1.14 MBytes  9.57 Mbits/sec
[  7]  2.0- 3.0 sec   428 KBytes  3.51 Mbits/sec
[  4]  3.0- 4.0 sec  6.11 MBytes  51.3 Mbits/sec
[  6]  3.0- 4.0 sec  3.20 MBytes  26.8 Mbits/sec
[  5]  3.0- 4.0 sec   901 KBytes  7.38 Mbits/sec
[  7]  3.0- 4.0 sec   856 KBytes  7.01 Mbits/sec
[ 10]  3.0- 4.0 sec  5.83 MBytes  48.9 Mbits/sec
[ 12]  3.0- 4.0 sec  7.84 MBytes  65.8 Mbits/sec
[  8]  3.0- 4.0 sec   375 KBytes  3.07 Mbits/sec
[  9]  3.0- 4.0 sec   667 KBytes  5.47 Mbits/sec
[ 11]  3.0- 4.0 sec  2.48 MBytes  20.8 Mbits/sec
[  4]  4.0- 5.0 sec  6.90 MBytes  57.9 Mbits/sec
[  6]  4.0- 5.0 sec  1.88 MBytes  15.8 Mbits/sec
[  5]  4.0- 5.0 sec  1.02 MBytes  8.60 Mbits/sec
[  7]  4.0- 5.0 sec  1.02 MBytes  8.60 Mbits/sec
[ 10]  4.0- 5.0 sec  3.41 MBytes  28.6 Mbits/sec
