------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  4] local 10.0.0.10 port 5001 connected with 10.0.0.2 port 59063
[  5] local 10.0.0.10 port 5001 connected with 10.0.0.3 port 42271
[  6] local 10.0.0.10 port 5001 connected with 10.0.0.4 port 34880
[  7] local 10.0.0.10 port 5001 connected with 10.0.0.5 port 52720
[  8] local 10.0.0.10 port 5001 connected with 10.0.0.1 port 58739
[ 11] local 10.0.0.10 port 5001 connected with 10.0.0.9 port 37663
[ 10] local 10.0.0.10 port 5001 connected with 10.0.0.6 port 35591
[  9] local 10.0.0.10 port 5001 connected with 10.0.0.7 port 49612
[ 12] local 10.0.0.10 port 5001 connected with 10.0.0.8 port 42182
[ ID] Interval       Transfer     Bandwidth
[  7]  0.0- 1.0 sec  2.68 MBytes  22.5 Mbits/sec
[  6]  0.0- 1.0 sec  1.01 MBytes  8.43 Mbits/sec
[  5]  0.0- 1.0 sec  2.11 MBytes  17.7 Mbits/sec
[ 11]  0.0- 1.0 sec  1.28 MBytes  10.8 Mbits/sec
[ 10]  0.0- 1.0 sec  1.06 MBytes  8.93 Mbits/sec
[  9]  0.0- 1.0 sec   882 KBytes  7.23 Mbits/sec
[ 12]  0.0- 1.0 sec   706 KBytes  5.78 Mbits/sec
[  4]  0.0- 1.0 sec  2.10 MBytes  17.6 Mbits/sec
[  8]  0.0- 1.0 sec   891 KBytes  7.30 Mbits/sec
[  4]  1.0- 2.0 sec  10.0 MBytes  84.2 Mbits/sec
[  5]  1.0- 2.0 sec  9.53 MBytes  79.9 Mbits/sec
[  6]  1.0- 2.0 sec  3.51 MBytes  29.5 Mbits/sec
[  7]  1.0- 2.0 sec  3.48 MBytes  29.2 Mbits/sec
[ 11]  1.0- 2.0 sec  1.95 MBytes  16.4 Mbits/sec
[ 10]  1.0- 2.0 sec  2.83 MBytes  23.8 Mbits/sec
[  9]  1.0- 2.0 sec  2.98 MBytes  25.0 Mbits/sec
[  8]  1.0- 2.0 sec  4.08 MBytes  34.3 Mbits/sec
[ 12]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec
[  4]  2.0- 3.0 sec  2.44 MBytes  20.5 Mbits/sec
[  5]  2.0- 3.0 sec  4.41 MBytes  37.0 Mbits/sec
[  6]  2.0- 3.0 sec  1.20 MBytes  10.0 Mbits/sec
[  7]  2.0- 3.0 sec  1.62 MBytes  13.6 Mbits/sec
[  8]  2.0- 3.0 sec  8.56 MBytes  71.8 Mbits/sec
[ 11]  2.0- 3.0 sec   947 KBytes  7.76 Mbits/sec
[ 10]  2.0- 3.0 sec  1.07 MBytes  8.97 Mbits/sec
[  9]  2.0- 3.0 sec  1.71 MBytes  14.4 Mbits/sec
[ 12]  2.0- 3.0 sec   328 KBytes  2.69 Mbits/sec
[  4]  3.0- 4.0 sec  2.40 MBytes  20.2 Mbits/sec
[  5]  3.0- 4.0 sec  4.25 MBytes  35.6 Mbits/sec
[  6]  3.0- 4.0 sec  1.33 MBytes  11.1 Mbits/sec
