------------------------------------------------------------
Server listening on TCP port 5001
TCP window size:  128 KByte (WARNING: requested 64.0 KByte)
------------------------------------------------------------
[  4] local 10.0.0.10 port 5001 connected with 10.0.0.2 port 33712
[  5] local 10.0.0.10 port 5001 connected with 10.0.0.3 port 50054
[  6] local 10.0.0.10 port 5001 connected with 10.0.0.4 port 45012
[  7] local 10.0.0.10 port 5001 connected with 10.0.0.5 port 42254
[  8] local 10.0.0.10 port 5001 connected with 10.0.0.6 port 60119
[  9] local 10.0.0.10 port 5001 connected with 10.0.0.7 port 46160
[ 10] local 10.0.0.10 port 5001 connected with 10.0.0.8 port 35240
[ 11] local 10.0.0.10 port 5001 connected with 10.0.0.1 port 37787
[ 12] local 10.0.0.10 port 5001 connected with 10.0.0.9 port 38465
[ ID] Interval       Transfer     Bandwidth
[  4]  0.0- 1.0 sec  58.0 KBytes   475 Kbits/sec
[  7]  0.0- 1.0 sec  58.0 KBytes   475 Kbits/sec
[  5]  0.0- 1.0 sec  58.0 KBytes   475 Kbits/sec
[  6]  0.0- 1.0 sec  58.0 KBytes   475 Kbits/sec
[  8]  0.0- 1.0 sec  58.0 KBytes   475 Kbits/sec
[  9]  0.0- 1.0 sec  58.0 KBytes   475 Kbits/sec
[ 10]  0.0- 1.0 sec  58.0 KBytes   475 Kbits/sec
[ 11]  0.0- 1.0 sec   137 KBytes  1.12 Mbits/sec
[ 12]  0.0- 1.0 sec  60.8 KBytes   498 Kbits/sec
[  4]  1.0- 2.0 sec  65.0 KBytes   533 Kbits/sec
[  7]  1.0- 2.0 sec  65.0 KBytes   533 Kbits/sec
[  5]  1.0- 2.0 sec  65.0 KBytes   533 Kbits/sec
[  6]  1.0- 2.0 sec  65.0 KBytes   533 Kbits/sec
[  8]  1.0- 2.0 sec  65.0 KBytes   533 Kbits/sec
[  9]  1.0- 2.0 sec  65.0 KBytes   533 Kbits/sec
[ 10]  1.0- 2.0 sec  65.0 KBytes   533 Kbits/sec
[ 11]  1.0- 2.0 sec  65.0 KBytes   533 Kbits/sec
[ 12]  1.0- 2.0 sec  62.2 KBytes   510 Kbits/sec
[  5]  2.0- 3.0 sec  62.2 KBytes   510 Kbits/sec
